shopname,tags,address&tel,average,features
坤记糕品专家,标签:面包甜点,地址:深水埗福华街115-117号北河商场地下10号铺   23600328,¥13,特色: 云吞面   各类粥品   干炒牛河
利强记北角鸡蛋仔(北角店) 分店,标签:港式小吃   小吃快餐,地址:北角英皇道492号   25909726,¥17,特色: 梳乎厘   瑞士汁鸡翼   干炒牛河
车仔面之家,标签:小吃快餐,地址:湾仔晏顿街1号A   25296313,¥43,特色: 奶茶   猪油包   咖喱牛腩饭
Lifetastic,标签:咖啡厅,地址:西环石塘咀山道31-37号地下B铺   +852-24208851,¥168,特色: 双拼捞面   叉烧汤面   牛腩面
金记冰室,标签:茶餐厅   粤菜,地址:天樂里6-18號恆安大廈地下D及E舖   +852-22024168,¥43,特色: 虾饺   流沙包   叉烧并烧鹅
胜记海鲜酒家,标签:海鲜 米其林一星,地址:西贡西贡大街33-39号地下   +852-27919887,¥582,特色: 海鲈鱼   红酒炖鸡   生牛肉
Dim Sum Library,标签:茶餐厅   粤菜,地址:金鐘金鐘道88號太古廣場1樓124號舖   +852-36430088,¥230,特色: 奶茶   牛腩面   云吞
仨島日本料理,标签:日本料理,地址:葵涌石篱大陇街103号昌荣楼地下1号铺   +852-91077257,-,特色: 皮蛋艇仔粥   滑牛鲮鱼球粥   萝卜糕
八天堂,标签:面包甜点,地址:尖沙咀廣東道25號海港城G104號鋪   ,¥42,特色: 提拉米苏配咖啡啫喱   香煎北海道級特大帶子   龙虾
香港乐天皇朝(利舞台店) 分店,标签:粤菜   川菜,地址:铜锣湾波斯富街99号利舞台6/F   +852-21770903,¥176,特色: 抹茶千层   海鹽焦糖千層蛋糕   玫瑰千层蛋糕
明记饭店 分店,标签:中餐,地址:香港湾仔宝灵顿道28号地下道街市南座5号档   25741929,¥295,特色: 火焰麻辣鸡煲   鲜炸响铃   黄金芝士鸡煲
晶荷轩,标签:中餐,地址:香港大屿山香港迪士尼乐园酒店   +852-35106000,¥336,特色: Chocolate Blast
公利真料竹蔗水(中环店),标签:饮料冰品,地址:中环苏豪荷李活道60号地下   +852-25443571,¥23,特色: 甜品   鱼生   羊排
翡翠拉面小笼包(海港城店) 分店,标签:中餐,地址:尖沙咀广东道17号海港城港威商场3楼3328号铺   26222699,¥134,特色: 叉烧   燕窝蛋挞   虾饺
翠华餐厅(佐敦白加士街店),标签:茶餐厅   粤菜,地址:佐敦白加士街77號   +852-23848388,¥72,特色: 海鲜拼盘   紐約西冷牛扒   面包
太平洋咖啡(爹核士街店),标签:咖啡厅,"地址:Shop A, Ground Floor, Luen Wai Apartments,, Nos. 136, 136A, 138, 140 & 142 Belcher’s Street, Kennedy Town, 香港   +852-28186239",¥40,特色: 拿铁   沙爹安格斯牛肉捞面   柠檬苏打水
正斗粥面专家(IFC店) 分店,标签:茶餐厅   粤菜,地址:中环港景街1号国际金融中心商场一期3楼3016-3018号铺   +852-22950101,¥129,特色: 甜虾刺身   海胆寿司   三文鱼油甘鱼刺身
太平馆餐厅(白沙道店) 分店,标签:西餐,地址:铜锣湾白沙道6号   25769161,¥267,特色: 原味鸡蛋仔   抹茶红豆蛋仔   香蕉蛋仔
翠华餐厅(湾仔店) 分店,标签:茶餐厅   粤菜,地址:湾仔骆克道54-62 号博汇大厦2楼   +852-25422288,¥63,特色: 刺身   甜虾   哈根达斯冰淇淋
英记面家,标签:中餐,地址:西环高街32号地下   +852-25407950,¥47,特色: 焦糖马奇朵   芝士蛋糕   拿铁
翠园(星光行店),标签:粤菜   中餐,地址:梳士巴利道3号星光行4层   +852-27306888,¥208,特色: 芒果蛋糕   提拉米苏   燕麦蛋糕
Cafe Gray Deluxe,标签:西餐,地址:金钟金钟道88号太古广场奕居49楼   +852-39681106,¥683,特色: 咖啡   菠萝油   红豆钵仔糕
源记茶餐厅(金巴利道店) 分店,标签:茶餐厅   粤菜,地址:尖沙咀金巴利道33-37号豪丽大厦地下   +852-21919339,¥63,特色: 冻蜜糖烤栗子牛奶咖啡
东海粥店,标签:小吃快餐,地址:佐敦上海街106号地下   +852-23536780,¥30,特色: 原味鱼蛋   辣椒酱   咖喱鱼蛋
Naughty Notte(NOTTE),标签:西餐,地址:铜锣湾告士打道229-230号宇宙商业大厦10楼   +852-27019828,¥547,特色: 虾饺皇   乳猪三拼   杨枝甘露
太平洋咖啡(又一城店) 分店,标签:咖啡厅,地址:九龙塘达之路80号又一城L1-34   22658661,¥40,特色: 双皮奶   猪扒包   姜撞奶
LADY M NEW YORK(新城市广场店),标签:面包甜点,地址:沙田正街18号新城市广场一期3楼309A号铺   +852-28661210,¥84,特色: 脆脆BB猪   雀笼点心   虾饺
米走鸡(铜锣湾店),标签:火锅,地址:铜锣湾渣甸街50号渣甸中心3楼   +852-93415931,¥189,特色: 丝袜奶茶   豬扒包   西多士
太平洋咖啡(天后店) 分店,标签:咖啡厅,地址:银幕街   25128266,¥40,特色: 原只鲍鱼烧麦皇   流沙包   虾饺
Essence(东荟城店),标签:自助餐,地址:东涌达东路20号1F 诺福特东荟城酒店内   +852-36028888,¥156,特色: 海胆   软壳蟹   三文鱼腩
国金轩(弥敦店) 分店,标签:中餐,地址:尖沙咀弥敦道118号美丽华广场The Mira Hong Kong 3楼   +852-23155222,¥395,特色: 切腩片頭撈粗   奶油多   四宝汤河粉
Morton's The Steakhouse,标签:牛排   西餐,地址:尖沙咀弥敦道20号4楼   +852-27322343,¥1122,特色: 金箔冰淇淋   绿茶冰激凌   哈密瓜芭菲
办馆(上环店),标签:咖啡厅,地址:上环裕林台1号地铺B   +852-25402210,¥65,特色: 伊比利亚黑猪叉烧   鲍鱼鸡粒炒饭   明虾球
千两(IFC店) 分店,标签:日本料理,地址:中环港景街1号国际金融中心商场二期3楼3099-3100号铺   22347633,¥246,特色: 黄金流奶牛角包   法国焦糖牛角包   法国杏仁牛角包
妈咪鸡蛋仔,标签:小吃快餐,地址:旺角廣華街1號仁安大廈   ,¥21,特色: 奇异果冰   海底椰白雪凉粉
乐天大喜屋,标签:日本料理,地址:旺角弥敦道601号创兴广场2楼   31888818,¥208,特色: 烤鸭   小笼包子   桂花糕凍伴鴨件
太平洋咖啡(亚皆老街店) 分店,标签:咖啡厅,地址:旺角亚皆老街8号朗豪坊B2 26-27号铺   35144108,¥37,特色: 班尼迪克蛋烟熏三文鱼吐司   Flat White   手冲咖啡
Cova Ristorante & Caffe(海港城... 分店,标签:西餐,地址:尖沙咀广东道3-27号海港城G315号   +852-29073882,¥232,特色: 奶黄流心月饼   朱古力蛋卷   杏仁酥
星巴克(中环都爹利街店) 分店,标签:咖啡厅   面包甜点,地址:中环都爹利街13号乐成行地库中层   25235685,¥44,特色: 黑金流沙   白玉王鸽   白玉乳鸽
太平洋咖啡(圣约翰大厦店) 分店,标签:咖啡厅,地址:中环花园道33号圣约翰大厦地下D铺   25239507,¥40,特色: 冬阴功鱼汤   炒通菜   金边炒米粉
林昌记,标签:小吃快餐   港式小吃,地址:尖沙咀科学馆道9号新东海商业中心1楼108A号铺   +852-36222422,¥11,特色: 冻奶茶   奶油豬   云吞面
天一酒家,标签:粤菜   中餐,"地址:金钟道88号太古广场LG1, 003   29189889",¥367,特色: 煲仔饭   蚝饼(小份)   炒蚬
义顺牛奶公司(油麻地店) 分店,标签:小吃快餐   甜品,地址:油麻地弥敦道513号地下   +852-23322726,¥35,特色: 溏心蛋   豚王拉面   赤王拉面
八月居,标签:中餐,地址:尖沙咀广东道17号海港城海洋中心4楼401号舖   +852-29920232,¥261,特色: 牛腩面套餐   红油云吞   鲜虾云吞
兰芳园(中环老店) 分店,标签:港式小吃   小吃快餐,地址:中环结志街2号地下   +852-25443895,¥45,特色: 红糖糍粑   番茄麻辣锅   红糖冰粉
彩福皇宴(皇室堡店),标签:粤菜   中餐,地址:铜锣湾告士打道311号皇室堡9楼   25667778,¥147,特色: 草莓香蕉沙冰
千两,标签:日本料理,地址:尖沙咀广东道17号海港城港威商场2楼2101-02   28712275,¥239,特色: 牛肝菌意大利烩饭   香煎海鱸魚柳番茄莎莎   脆烧德国原只咸猪手
Thai In,标签:东南亚菜,地址:吳松街141号（佐敦地鐵站A出口）   +852-28699986,-,特色: 忌廉雞肉咖喱烏冬   吉列牛   Kobekyu滋味雞翼
安利鱼蛋粉面,标签:中餐,地址:筲箕湾筲箕湾东大街22号   +852-25138398,¥52,特色: 冻奶茶   烧鹅   烧味
i CREMERiA Cafe(朗豪坊店),标签:冰淇淋,地址:旺角亚皆老街8号朗豪坊4楼13号铺   +852-28973908,¥74,特色: 和牛牛肋肉（黑松露月见汁）   烤肉   牛角饭
红糖,标签:粤菜   中餐,地址:红磡红鸾道38号香港嘉里酒店7楼   +852-22525279,¥507,特色: 虾饺   叉烧包   滑鸡球大包
Urban Bakery(朗豪坊店),标签:面包甜点,地址:亚皆老街旺角朗豪坊地库2楼8号   +852-35808954,¥27,特色: 鹅肝汤   牛柳   生煎鹅肝
满记甜品(屯门时代广场店) 分店,标签:面包甜点   甜品,地址:屯门屯门时代广场北翼 地下14-16号   26130302,¥47,特色: 香草软雪糕   香滑软雪糕   蛋筒
美中．鸭子,标签:中餐,地址:尖沙咀弥敦道101号海港城港威商场3F/3F/3319   +852-23476898,¥228,特色: 咖啡   印度香料奶茶   抹茶鲜奶
The Cupping Room,标签:咖啡厅,地址:中环阁麟街18号   +852-25113518,¥95,特色: 龙眼椰果冰   杨汁甘露   榴莲水晶珠
美心西饼(MTR铜锣湾店) 分店,标签:面包甜点   特产手信,地址:铜锣湾地铁站Kiosk CAB E7号铺   +852-28921969,¥75,特色: 清汤腩   萝卜   咖喱净牛腩
唐宫小聚(中环店),标签:粤菜   中餐,地址:中环皇后大道中139号THEL.PLACE2楼   +852-35689666,¥177,特色: 辣魚蛋   金牌碗仔翅   滑肠粉
金不换泰国餐厅(太古广场店),标签:东南亚菜,"地址:金钟道88号太古广场LG1,001   25374682",¥258,特色: 手切牛肉   番茄梭子蟹锅底   四寶丸
翠华餐厅,标签:茶餐厅   粤菜,地址:紅磡黃埔花園1座地下2B商鋪   +852-21090652,¥62,特色: 奶茶   瑞士鸡翼捞丁   炒蛋
兴记菜馆,标签:粤菜   中餐,"地址:油麻地庙街14, 19, 21号 及鸦打街48号   23843647",¥66,特色: 田园蜜糖鸡翅   温泉蛋卡邦尼扁意粉   棉花糖软雪糕特浓牛奶
豚王(新城市广场店),标签:日本料理   面条,地址:沙田正街18号新城市广场一期1楼167号铺   +852-31891200,¥97,特色: 冰烧三层肉   杨枝甘露   老火汤
池记(香港国际机场店),标签:茶餐厅   粤菜,地址:香港国际机场西翼一号客运大楼6层   +852-22610586,¥74,特色: 爆米花冰激凌   甜甜圈圆筒   双球
鋼管廠五區小郡肝串串香,标签:火锅,地址:銅鑼灣 軒尼詩道502號 黃金廣場9樓   +852-27585777,¥268,特色: 苹果叉烧酥   萝卜丝酥   COCKTAIL
太平洋咖啡(新世纪广场店) 分店,标签:咖啡厅,地址:旺角太子道西193号新世纪广场L4楼层433号铺   +852-26283372,¥33,特色: 海虾   鲍鱼   四宝丸
Mini Friday(旺角店),标签:西餐,地址:旺角西洋菜南街2A银城广场9楼全层   +852-37059125,¥195,特色: 烧鹅   冰柠檬茶   叉烧烧腩双拼
Kobekyu 吉列牛忌廉烏冬專門店,标签:韩国料理,"地址:銅鑼灣耀華街3號,百樂中心22樓全層   +852-34278822",¥126,特色: 香蒜芝士焗面包   Americano   Canada
满记甜品(将军澳中心店),标签:面包甜点   甜品,地址:将军澳将军澳中心1楼182A号铺   +852-23599559,-,特色: 刺身拼盘   甜虾   烤菠萝
满记甜品(乐富广场店),标签:面包甜点   甜品,地址:乐富乐富商场A区 地下L232 号铺   +852-21916638,-,特色: 牛排   小吃拼盘   海鲜拼盘
太兴烧味餐厅(尖沙咀店) 分店,标签:茶餐厅   粤菜,地址:尖沙咀东部科学馆道14号新文华中心地下75号铺   +852-27220701,¥65,特色: 豬軟骨七小時煮定食   猪软骨野菜咖喱饭   咖喱杂菜饭
牛角日本烧肉专门店,标签:日本料理,地址:九龙塘又一城 LG1-29   +852-31059708,¥214,特色: 招牌口水鸡   牛肚凉面   红油猪耳
城市汇(中环店),标签:西餐,地址:上环干诺道中88号南丰大厦2楼3-5号店   +852-37088083,-,特色: 杨枝甘露   汤（一定要试这里的汤   酱油脆皮鸡
陆羽茶室,标签:粤菜   中餐,地址:中环士丹利街24号地下至3楼   +852-25235464,¥195,特色: 奶茶   叉烧饭   双拼饭
Pierre(文华东方店),标签:法国菜   西餐 米其林二星,地址:中环干诺道中5号香港文华东方酒店25楼   +852-28254001,¥1537,特色: 冬荫功   芒果糯米饭   大蝦金邊粉
富豪雪糕流动车,标签:冰淇淋,地址:香港尖沙咀尖沙咀天星码头对出巴士站(各区流动)   26911388,¥7,特色: 龙虾包   生鱼片   梅酒
Tom Dixon X Nodi,标签:咖啡厅,地址:中环荷里活道52号1楼   +852-28191155,¥51,特色: 大薯条   白桃樱桃慕丝蛋糕   玫瑰石榴红茶
聪嫂私房甜品(湾仔店),标签:面包甜点,地址:湾仔大王东街21-23号地下   +852-25206363,¥31,特色: 恺撒沙拉   Seafood Lingunie   招牌香濃朱古力蛋糕配雲呢拿雪糕
大利清汤腩(电气道店) 分店,标签:港式小吃   小吃快餐,地址:天后电气道13号地下   28060683,¥60,特色: 蛇羹   咖喱鸡翼   腊味菜饭
通达食店(油麻地店) 分店,标签:港式小吃   小吃快餐,地址:油麻地碧街44-48号地下   ,¥26,特色: Tiramisu   煎雪鱼   生牛肉
老坑火锅,标签:火锅,地址:红磡曲街25-31号后巷   +852-90897732,¥450,特色: 黄金珍奶   芋圆奶茶   珍珠紅茶拿鐵
红磡冰室,标签:茶餐厅   粤菜,地址:明安街25号地下   +852-23648388,¥51,特色: 热拿铁   咖啡豆巧克力   美式
乐庭悠(尖沙咀店),标签:西餐,地址:尖沙咀金马伦道19号A   +852-21111026,¥133,特色: 蛋卷   熊猫曲奇   老婆饼
利苑酒家(时代广场店) 分店,标签:粤菜   中餐,地址:铜锣湾勿地臣街1号时代广场食通天10楼   ,¥344,特色: 蓝鳍吞拿鱼定食   吞拿鱼大腹   吞拿鱼蓉海胆丼饭
Emack & Bolio's,标签:冰淇淋,地址:中环阁麟街26号   +852-25056626,¥61,特色: 岩鹽焦糖牛奶咖啡
唐人馆(置地广场店) 分店,标签:粤菜   中餐,地址:香港中环皇后大道中15号置地广场中庭4楼411-413号店   +852-25222148,¥704,特色: 招牌云吞面   至尊三寶麵   鲮鱼球面
协盛大排档,标签:火锅,地址:香港北角炮台山电气道130号   +852-25712222,¥248,特色: 夏威夷牛肉汉堡   西冷牛扒薯条沙律
深井陈记烧鹅酒家(业丰大厦店),标签:茶餐厅   粤菜,地址:中环德己立街18号业丰大厦2楼   +852-22670666,¥137,特色: 牛油蛋卷   老婆饼   曲奇
Mother of Pizzas,标签:西餐   披萨,地址:铜锣湾礼顿道13-19号地铺   28912221,-,特色: 豆腐   招牌陈皮红豆沙   烧鹅
极尚大瀛喜日本料理,标签:日本料理,地址:銅鑼灣駱克道463-483號銅鑼灣廣場2期11樓   +852-31888008,¥199,特色: 主厨披萨   鲜虾扁意面   沙拉
太平山餐厅(山顶道店),标签:更多美食,地址:山顶山顶道121号   +852-28491000,¥359,特色: 一品鸡煲   响铃   冻柠茶（大）
坐忘,标签:日本料理,地址:天后电气道127号地铺   +852-28897377,¥62,特色: 奶茶   菠萝油   菠萝包
川亭,标签:中餐   川菜,地址:湾仔道177-179号保和大厦地下G铺   24024343,-,特色: 牛排   鹅肝   Mojito
利苑酒家(新城市广场店) 分店,标签:粤菜   中餐 米其林一星,地址:沙田正街18号新城市广场一期6楼628及631号铺   +852-26989111,¥223,特色: 菠萝油   凍奶茶   冻柠茶
大家乐(海港城店) 分店,标签:小吃快餐,地址:尖沙咀广东道17号海港城港威商场2楼2601号铺   21750181,¥43,特色: 榴莲飘香   杨枝甘露   芒果益力多绵绵冰
Mango Tree(圆方店),标签:东南亚菜,地址:尖沙咀柯士甸道西1号圆方购物中心2F金区2032-33号   +852-26684884,¥319,特色: 啤酒   何蘭正金錢雞   炸鸡
筑地山贵水产,标签:日本料理,地址:天星小轮码头二楼   +852-39745609,¥466,特色: 古法糯米鸡翅   黑胡椒炒蟹   杏汁猪肺汤
木槿花韓牛專門店,标签:韩国料理,地址:中环士丹顿街33号地铺   +852-25051723,¥481,特色: 鲜带子芝士配蟹肉   凉拌西红柿   烟熏鲑鱼配芦笋松露菌
猫之茶房,标签:西餐,地址:荃湾大河道45号树勋楼1楼   +852-21496261,-,特色: 冰片三层肉   杨枝甘露   龙虾汤贵妃泡饭
菠萝仔食堂美食车,标签:小吃快餐,"地址:尖沙咀梳士巴利花园, 黄大仙广场(各区流动)   ",¥27,特色: 抹茶芭菲   抹茶絵卷   烤年糕红豆汤
McSorley's Brewhouse & Grill(...,标签:西餐,地址:尖沙咀柯士甸道西1号圆方购物中心RF金区R001号   +852-27364888,¥358,特色: 避風塘炒蟹   葱油走地鸡   赖尿虾
蛇王良,标签:中餐,地址:北角电气道298号A铺   +852-25788135,¥59,特色: 火山岩浆泡菜芝士炒饭   小食大拼盘   乌卒卒炒饭
Tosca,标签:西餐 米其林一星,地址:尖沙咀柯士甸道西1号(ICC)香港环球贸易广场丽思卡尔顿酒店102楼   +852-22632270,¥1124,特色: 毛肚   晓宇嫩牛肉   鲜黄喉
太平洋咖啡(荷李活商业中心店),标签:咖啡厅,"地址:上环荷李活道233号荷李活商业中心地下1,3至5号   +852-25239821",-,特色: 奶茶   菠萝油   菠萝包
太平洋咖啡(曼克顿山店) 分店,标签:咖啡厅,地址:美孚宝轮街1号曼克顿山地下G04 -05号铺   29071234,¥40,特色: 迷你汉堡餐   西班牙海鲜饭   指南针布朗尼
KOI Thé(旺角登打士店),标签:奶茶/果汁,地址:香港特别行政区油尖旺区登打士街55号   +852-23858518,¥23,特色: 榛子巧克力   开心果   蜜桃乳酪
Ralph’s Coffee,标签:咖啡厅,地址:九龙尖沙咀海港城海运大厦3楼   +852-23763936,¥49,特色: 鹵水鮑魚   龙虾   扇贝
奇华饼家(崇光店) 分店,标签:面包甜点   特产手信,地址:铜锣湾崇光百货地库   +852-28318547,¥96,特色: 蓝莓丹麦   摩卡冰沙
定食 Doraya(尖沙咀店) 分店,标签:日本料理,地址:尖沙咀厚福街H8 6楼   23668072,¥207,特色: 拿铁   纽约芝士蛋糕
太平洋咖啡(黄埔花园店) 分店,标签:咖啡厅,地址:红磡黄埔花园第九期地下16A及17号铺   23620618,¥40,特色: 招牌及第粥   虾仁鱼片粥   生滚牛肉粥
沾仔记(皇后大道店) 分店,标签:小吃快餐,地址:中环皇后大道中153号兆英商业大厦地库   25813369,¥35,特色: 日式炒杂菜
桦得园,标签:西餐,地址:九龙城南角道5号地铺   23828010,-,特色: 冻奶茶   奶油猪   菠萝油
奇华饼家(港铁尖沙咀站店) 分店,标签:面包甜点   特产手信,地址:港铁尖沙咀站10号铺   +852-23144808,¥62,特色: 甘鲷鱼   和牛卷   鲍鱼
云来轩,标签:粤菜   中餐,地址:尖沙咀棉登径17-23号华枫大厦1楼   +852-27220156,¥292,特色: 鸡煲   炸响铃   茅根竹蔗水
Wildfire pizzabar & grill(山顶...,标签:西餐   披萨,地址:山顶山顶道128号凌霄阁1楼2号铺   28495123,¥281,特色: 冬阴功汤   猪颈肉   菠萝炒饭
一品鸡煲火锅(旺角店),标签:火锅,地址:旺角花园街2-16号   +852-22953337,¥138,特色: 世家云吞面   牛腩牛筋面   杂锦一品粥
金凤茶餐厅(湾仔店),标签:茶餐厅   粤菜,地址:湾仔春园街41号春园大厦地下   +852-25720526,¥37,特色: 点心   荷叶珍珠鸡   太极羹
Wooloomooloo Prime,标签:西餐,地址:尖沙咀弥敦道100号TheONE21楼   28700087,¥681,特色: 牛角包   Croissant   碱水包
太平洋咖啡(云咸街店) 分店,标签:咖啡厅,地址:中环云咸街8号大堂   25266340,¥40,特色: 叉烧包   生炒腊味糯米饭   竹笙虾籽柚皮
南龙冰室,标签:茶餐厅   粤菜,地址:铜锣湾敬诚街1-3号地下   +852-31060820,¥49,特色: 玫瑰香槟小熊   香槟小熊   蜜桃软糖
发记甜品 分店,标签:面包甜点,地址:九龙尖沙咀加拿分道25-31号国际商业信货银行大厦地下8号铺   +852-21092366,¥50,特色: 橘肉分梨   圣诞蛋   紫薯奶
何蘭正,标签:粤菜   中餐,地址:中環卑利街65號   +852-23422224,¥227,特色: 芝士鲜奶挞   紫薯流心挞   吞拿鱼芝士塔
农圃饭店,标签:粤菜   中餐,地址:铜锣湾新宁道8号中国太平大厦一期1楼   +852-28811331,¥1318,特色: 碎蒽吞拿魚   三文魚籽   溫泉蛋
Aqua Spirit,标签:酒吧,地址:尖沙咀北京道1号30楼   +852-34272288,¥554,特色: 北海道芝士蛋糕   北海道芝士夹心饼   小樽饼干
利苑酒家(湾仔店) 分店,标签:粤菜   中餐 米其林一星,地址:湾仔轩尼诗道338号北海中心1楼   ,¥293,特色: 原条蒲烧鳗鱼饭   北海道马粪海胆丼饭   吞拿魚大腩刺身丼飯
宇治园,标签:面包甜点,地址:尖沙咀广东道3-27号海港城港威商场4楼4201-4202K号铺   +852-21103052,¥100,特色: 椒盐鲍鱼   椒盐豆腐   海鲜鱼汤
越华会海鲜小馆,标签:海鲜,地址:铜锣湾骆克道447-449号中威商业大厦2楼   23949928,¥405,特色: 原味鸡蛋仔   朱古力鸡蛋仔   紫薯番薯鸡蛋仔
Seoulmate Cafe,标签:韩国料理   甜品,地址:铜锣湾骆克道491-499号京都广场4楼   +852-21046788,¥185,特色: 怀旧腊味蒸三宝   港式奶茶   豉椒炒鲜鹅肠
渝味晓宇重庆老火锅(尖沙咀店),标签:火锅,地址:尖沙咀北京道12A号太子集团中心19楼   +852-36210893,¥282,特色: 小拿铁   手冲咖啡   水波蛋吐司加牛油果
康年餐厅,标签:茶餐厅   粤菜,地址:太子通菜街143-145号地下   +852-23918398,¥48,特色: 黄金珍奶   红茶拿铁   芋圆奶茶
芊彩餐厅,标签:自助餐,地址:香港大屿山香港迪士尼乐园迪士尼探索家度假酒店   +852-35102000,¥212,特色: 炒墨魚粒配意大利番西蒜蓉醬   橄欖油蒜片大蝦   生滚鲜鱼汤煮蛤蜊
Da Dolce Gelato Italiano(大屿... 分店,标签:面包甜点,地址:大屿山昂坪市集7A号舖   22593919,-,特色: 烤菠萝   天妇罗虾   寿司
半岛酒店露台餐厅,标签:自助餐,地址:尖沙咀梳士巴利道22号香港半岛酒店1楼   +852-26966766,¥399,特色: 鲜虾馄饨面   鲜虾净云吞   干炒牛河.
太平洋咖啡(鹰君中心店) 分店,标签:咖啡厅,地址:湾仔海湾道23号鹰君中心1楼106-110号铺   25881112,¥38,特色: 三品料理   香浓咖啡   宇治抹茶红豆卷蛋
太平洋咖啡(黄大仙中心店),标签:咖啡厅,地址:黄大仙龙翔道136号黄大仙中心北馆1楼N111及N112号铺   23513078,-,特色: 抹茶刨冰   杂莓乳酪刨冰（限定）   日式豆腐刨冰
太平洋咖啡(皇室大厦店) 分店,标签:咖啡厅,地址:铜锣湾告士打道311号皇室大厦1楼113-115号铺   28771972,¥38,特色: 比利时手工啤酒   澳洲和牛汉堡   秘制酱配墨西哥粟米片
富记粥品(旺角店),标签:粤菜   中餐,地址:旺角花园街104-106号   23851230,¥46,特色: 状元及第粥   鱼腩牛肉粥   鱼皮
蓬萊拉麵屋,标签:日本料理   面条,地址:昂坪市集2舖   ,-,特色: 三文鱼   鳗鱼寿司   三文鱼，大元贝
太平洋咖啡(中港城店) 分店,标签:咖啡厅,地址:尖沙咀广东道33号中港城皇家太平洋酒店1楼   +852-23142721,¥49,特色: 白咖喱香茅猪扒饭   避风塘软壳蟹   日式蟹粉豆腐锅配饭
翠华餐厅(德辅道中店) 分店,标签:茶餐厅   粤菜,地址:中环德辅道中84-86号地下及地库   28153000,¥85,特色: 招牌鲍鱼粥   鲍鱼滑鸡粥   猪肝骨腩粥
铁板烧·铸,标签:日本料理,地址:大坑铜锣湾道134号地下（天后地铁站b口过马路）   25707088,¥1327,特色: 杏汁白肺汤   白雪龙虾炒面   乳猪
太平洋咖啡(国际金融中心店) 分店,标签:咖啡厅,地址:中环港景道1号国际金融中心1楼1022号铺   28685100,¥40,特色: 卤水鹅片   方魚蠔仔肉碎粥   鱼蛋河粉
一品鸡煲火锅(民泰街店) 分店,标签:火锅,地址:红磡民泰街35号地下   24073337,¥190,特色: 冻奶茶   烧腊拼盘   叉烧与鸡双拼饭
金不换泰国餐厅(海港城店) 分店,标签:东南亚菜,地址:尖沙咀广东道17号海港城海运大厦2楼OT260-OT263号铺   27301963,¥300,特色: 鹿兒島和牛   锅物海鲜盛套餐   刺身拼盘
麦奀云吞面世家(海港城店),标签:茶餐厅   粤菜,地址:尖沙咀廣東道海港城海运大厦G02   +852-31023862,¥71,特色: 炙烧豚肉味玉拉面   鸡叉烧辛辣鸡白汤拉面   溏心蛋
怡东轩,标签:中餐,地址:铜锣湾告士打道281号怡东酒店2楼   28376790,¥606,特色: 香草拿铁咖啡
Bake House by Gregoire Michaud,标签:面包甜点,地址:灣仔大王東街14號   ,¥75,特色: 奶茶   特脆奶油猪仔包   鱼蛋粉
满福楼(湾仔店),标签:粤菜   中餐,地址:香港港湾道1号香港万丽海景酒店   +852-28028888,¥559,特色: 韩式炒牛肉拌饭   炒粉絲   韩式泡菜
Sugarfina(海港城店),标签:面包甜点   甜品,地址:尖沙咀广东道海港城海威商场3楼3327号铺   +852-21164688,¥215,特色: Hot Latte   甜點   檸檬批
媽不在家,标签:面包甜点,地址:油麻地上海街302号1楼   +852-97705760,¥66,特色: 水煮野生鱼   枣蓉千层糕   夫妻肺片
批和挞专门店(尖沙咀店) 分店,标签:面包甜点,地址:尖沙咀加连威老道77号   23661236,¥18,特色: 海胆意大利面   鲍鱼壳曲奇   炭烤和牛
铁火堂(尖沙咀店),标签:日本料理,地址:尖沙咀厚福街10号地铺   +852-26622551,¥130,特色: 芝麻糊   榴梿忘返
LeTAO HK,标签:面包甜点,地址:中环ifc mall 1033铺   +852-24657203,¥189,特色: 热拿铁   白咖啡   全日早餐AllDayBreakfast
鮨丼(Sushi Don),标签:日本料理,地址:尖沙咀弥敦道180号宝华商业大厦3楼   +852-27354228,¥224,特色: 小炒肉   双椒鱼头   土鸡汤
六福菜馆,标签:海鲜 米其林一星,地址:西贡市场街49号地铺   27929966,¥341,特色: 杏汁炖白肺汤   瓦罉焗胡椒蝦   菠萝咕噜肉
妈咪鸡蛋仔,标签:港式小吃   小吃快餐,地址:希云街1-5号礼信大厦地下17号铺   ,¥21,特色: 虾饺皇   豉汁蒸凤爪蒸   梅菜肉饼饭
東湖小廚聯威餐廳,标签:茶餐厅   粤菜,地址:銅鑼灣渣甸街54-58號富盛商業大廈1樓   +852-28081908,¥65,特色: 珍珠肠粉   桂花珍珠露   叉烧包
The Cupping Room(上环店),标签:咖啡厅,地址:上环皇后大道中287-299号LG铺   27993398,¥116,特色: 海胆汁煮活龙虾   A5日本黑毛和牛   清酒煮蚬
KOI Thé,标签:奶茶/果汁,地址:佐敦寶靈街8-20號寶靈大樓地舖   ,¥21,特色: 厚牛舌   极上和牛三品盛合   拼盘
Sabor Spanish Touch Private Ki...,标签:西班牙菜   西餐,地址:上环永乐街1-3号世瑛大厦6楼601室   24818828,¥476,特色: 泰国冻奶茶   菠萝炒饭   冬阴功
八幡屋涮涮锅,标签:自助餐,地址:弥顿道628号琼华中心12楼全层(旺角站E2出口)   21519918,¥206,特色: 燒雞扒飯   鸡扒拼藕饼   奶茶
何洪记,标签:小吃快餐,地址:香港国际机场一号航站楼安检外抵达层5楼   +852-23236690,¥120,特色: 蛋挞   莎翁   鸡批
